,x,y,player_name,team,position,foot,goals,agg_position
2537,6.420448,2.6231487,Francisco Manuel Rico Castro,Granada,Center Attacking Midfield,Right Foot,0.1666666666666666,Attacking Midfield
2538,6.221132,7.7855372,Jeison Fabián Murillo Cerón,Celta Vigo,Center Back,Right Foot,0.0,Center Back
2539,3.5448132,3.4995503,Allan Romeo Nyom,Granada,Right Back,Right Foot,0.0,Right Back
2540,8.078679,6.3623233,Manuel Rolando Iturra Urrutia,Granada,Right Defensive Midfield,Right Foot,0.0,Defensive Midfield
2541,10.040076,2.4033828,Youssef El-Arabi,Granada,Center Forward,Right Foot,0.0,Striker
2542,8.149569,8.417898,Jean-Sylvain Claude Babin,Granada,Right Center Back,Right Foot,0.0,Center Back
2543,9.453209,2.2923086,Isaac Ajayi Success,Granada,Right Center Forward,Right Foot,0.0,Striker
2544,3.623008,3.4785507,Dimitri Foulquier,Granada,Left Back,Right Foot,0.0,Left Back
2545,7.389305,6.682737,Héctor Yuste Cantón,Granada,Left Defensive Midfield,Right Foot,0.0,Defensive Midfield
2546,3.1821191,6.7214265,Javier Márquez Moreno,Granada,Right Center Midfield,Left Foot,0.0,Center Midfield
2547,9.69729,8.260312,Javier Alejandro Mascherano,Barcelona,Left Center Back,Right Foot,0.0051282051282051,Center Back
2548,3.4378216,9.208148,Sergio Escudero Palomo,Sevilla,Left Back,Left Foot,0.0,Left Back
2549,3.7043877,3.0009842,Martín Montoya Torralbo,Barcelona,Right Back,Right Foot,0.0,Right Back
2550,6.756829,4.947512,Alejandro Felip Selma,Getafe,Left Defensive Midfield,Right Foot,0.0,Defensive Midfield
2551,7.453013,2.4477506,Iván López Álvarez,Getafe,Center Forward,Right Foot,0.0,Striker
2552,3.731613,2.9893718,Sergi Roberto Carnicer,Barcelona,Right Back,Right Foot,0.0170454545454545,Right Back
2553,-2.1060076,7.6767316,Vicente Guaita Panadero,Getafe,Goalkeeper,Right Foot,0.0,Goalkeeper
2554,8.303309,8.705698,Emiliano Daniel Velázquez Maldonado,Getafe,Left Center Back,Right Foot,0.0,Center Back
2555,3.1599882,5.862513,Fredy Hinestroza Arias,Getafe,Center Attacking Midfield,Left Foot,0.0,Attacking Midfield
2556,4.118634,4.8380766,Álvaro Arroyo Martínez,Getafe,Right Back,Left Foot,0.0,Right Back
2557,10.081,3.1313293,Papa Babacar Diawara,Getafe,Center Forward,Right Foot,0.0,Striker
2558,3.6971784,9.033646,Roberto Lago Soto,Celta Vigo,Left Back,Left Foot,0.0,Left Back
2559,7.5656986,3.8332028,Emiliano Buendía,Getafe,Left Wing,Right Foot,0.0,Left Wing
2560,8.757452,6.7796535,José Luis García del Pozo,Málaga,Left Center Midfield,Right Foot,0.0,Center Midfield
2561,9.981652,2.1681957,Juan Miguel Jiménez López,Real Sociedad,Left Center Forward,Right Foot,0.3333333333333333,Striker
2562,8.683009,3.707825,Luis Alberto Romero Alconchel,Deportivo La Coruna,Center Attacking Midfield,Right Foot,0.0,Attacking Midfield
2563,2.9919057,6.363807,Munir El Haddadi Mohamed,Barcelona,Left Wing,Left Foot,0.2058823529411764,Left Wing
2564,8.745449,2.2423625,Sandro Ramírez Castillo,Barcelona,Left Wing,Right Foot,0.2,Left Wing
2565,9.057624,7.4537873,Sergi Darder Moll,Espanyol,Right Center Midfield,Right Foot,0.0,Center Midfield
2566,4.026217,3.8307395,Douglas Pereira dos Santos,Barcelona,Right Back,Right Foot,0.0,Right Back
2567,3.3319137,6.7772355,Juan Pablo Añor Acosta,Málaga,Center Forward,Left Foot,0.1666666666666666,Striker
2568,3.656266,6.9760213,Samuel Castillejo Azuaga,Villarreal,Left Midfield,Left Foot,0.0,Left Wing
2569,3.2955785,3.8585548,Roberto José Rosales Altuve,Málaga,Right Back,Right Foot,0.0,Right Back
2570,8.367958,5.151305,Nordin Amrabat,Morocco,Center Forward,Right Foot,0.0,Striker
2571,3.255227,7.0118933,Rafael Alcântara do Nascimento,Barcelona,Right Center Midfield,Left Foot,0.1428571428571428,Center Midfield
2572,2.8463845,6.23203,Iago Aspas Juncal,Celta Vigo,Center Forward,Left Foot,0.4285714285714285,Striker
